id,foundation_score,exploration_score,application_score,mastery_score,specification,score,users_ID,skills_ID
5255,-1.00,100.00,-1.00,-1.00,Exploration,79,628,4183
5256,-1.00,100.00,-1.00,-1.00,Exploration,79,628,4184
5257,-1.00,100.00,-1.00,-1.00,Exploration,79,628,4208
5258,-1.00,0.00,-1.00,-1.00,NULL,0,628,4064
5259,-1.00,0.00,0.00,-1.00,NULL,0,628,4067
5260,0.00,0.00,50.00,-1.00,NULL,14,628,4069
5261,-1.00,50.00,-1.00,-1.00,NULL,49,628,4070
5262,-1.00,0.00,-1.00,-1.00,NULL,0,628,4073
5263,-1.00,0.00,-1.00,-1.00,NULL,0,628,4081
5264,-1.00,0.00,-1.00,-1.00,NULL,0,628,4135
5265,-1.00,0.00,-1.00,-1.00,NULL,0,628,4142
5266,-1.00,0.00,-1.00,-1.00,NULL,0,628,4148
5267,-1.00,0.00,-1.00,-1.00,NULL,0,628,4150
5268,-1.00,0.00,-1.00,-1.00,NULL,0,628,4158
5269,-1.00,0.00,-1.00,-1.00,NULL,0,628,4164
5270,-1.00,0.00,0.00,-1.00,NULL,0,628,4167
5271,-1.00,0.00,-1.00,-1.00,NULL,0,628,4168
5272,-1.00,0.00,-1.00,-1.00,NULL,0,628,4171
5273,-1.00,0.00,-1.00,-1.00,NULL,0,628,4173
5274,-1.00,-1.00,0.00,-1.00,NULL,0,628,4176
5275,-1.00,0.00,-1.00,-1.00,NULL,0,628,4190
5276,-1.00,-1.00,0.00,-1.00,NULL,0,628,4196
5277,-1.00,-1.00,0.00,-1.00,NULL,0,628,4198
5278,-1.00,50.00,0.00,-1.00,NULL,25,628,4209
5279,-1.00,0.00,0.00,-1.00,NULL,0,628,4212
5280,-1.00,0.00,100.00,-1.00,Application,80,628,4213
5281,-1.00,0.00,-1.00,-1.00,NULL,0,628,4216
5282,-1.00,0.00,50.00,-1.00,NULL,33,628,4219
5283,-1.00,0.00,100.00,-1.00,Application,80,628,4220
5284,-1.00,66.67,0.00,-1.00,Exploration,65,628,4223
5285,-1.00,0.00,-1.00,-1.00,NULL,0,628,4240
5286,-1.00,100.00,-1.00,-1.00,Exploration,79,649,4064
5287,-1.00,100.00,100.00,-1.00,Application,89,649,4067
5288,-1.00,100.00,-1.00,-1.00,Exploration,79,649,4068
5289,-1.00,100.00,-1.00,-1.00,Exploration,79,649,4090
5290,-1.00,100.00,-1.00,-1.00,Exploration,79,649,4091
5291,-1.00,100.00,-1.00,-1.00,Exploration,79,649,4180
5292,-1.00,100.00,-1.00,-1.00,Exploration,79,649,4183
5293,-1.00,100.00,-1.00,-1.00,Exploration,79,649,4184
5294,-1.00,100.00,-1.00,-1.00,Exploration,79,649,4208
5295,-1.00,50.00,100.00,-1.00,Application,83,649,4212
5296,-1.00,-1.00,0.00,-1.00,NULL,0,649,4066
5297,0.00,25.00,0.00,-1.00,NULL,14,649,4069
5298,-1.00,50.00,-1.00,-1.00,NULL,49,649,4070
5299,-1.00,0.00,-1.00,-1.00,NULL,0,649,4073
5300,-1.00,0.00,-1.00,-1.00,NULL,0,649,4081
5301,-1.00,0.00,-1.00,-1.00,NULL,0,649,4135
5302,-1.00,0.00,-1.00,-1.00,NULL,0,649,4142
5303,-1.00,0.00,-1.00,-1.00,NULL,0,649,4147
5304,-1.00,0.00,-1.00,-1.00,NULL,0,649,4148
5305,-1.00,0.00,-1.00,-1.00,NULL,0,649,4150
5306,-1.00,0.00,-1.00,-1.00,NULL,0,649,4158
5307,-1.00,0.00,-1.00,-1.00,NULL,0,649,4164
5308,-1.00,0.00,0.00,-1.00,NULL,0,649,4167
5309,-1.00,0.00,-1.00,-1.00,NULL,0,649,4168
5310,-1.00,0.00,-1.00,-1.00,NULL,0,649,4171
5311,-1.00,-1.00,0.00,-1.00,NULL,0,649,4172
5312,-1.00,0.00,-1.00,-1.00,NULL,0,649,4173
5313,-1.00,-1.00,0.00,-1.00,NULL,0,649,4176
5314,-1.00,0.00,-1.00,-1.00,NULL,0,649,4190
5315,-1.00,-1.00,0.00,-1.00,NULL,0,649,4196
5316,-1.00,-1.00,0.00,-1.00,NULL,0,649,4198
5317,-1.00,50.00,50.00,-1.00,NULL,49,649,4209
5318,-1.00,0.00,0.00,-1.00,NULL,0,649,4213
5319,-1.00,0.00,-1.00,-1.00,NULL,0,649,4216
5320,-1.00,100.00,0.00,-1.00,Exploration,65,649,4219
5321,-1.00,100.00,0.00,-1.00,Exploration,65,649,4220
5322,-1.00,66.67,33.33,-1.00,Exploration,65,649,4223
5323,-1.00,0.00,-1.00,-1.00,NULL,0,649,4240
5324,-1.00,100.00,-1.00,-1.00,Exploration,79,637,4064
5325,-1.00,100.00,-1.00,-1.00,Exploration,79,637,4070
5326,-1.00,100.00,-1.00,-1.00,Exploration,79,637,4090
5327,-1.00,100.00,-1.00,-1.00,Exploration,79,637,4091
5328,-1.00,100.00,-1.00,-1.00,Exploration,79,637,4142
5329,-1.00,100.00,-1.00,-1.00,Exploration,79,637,4147
5330,-1.00,100.00,-1.00,-1.00,Exploration,79,637,4148
5331,-1.00,100.00,-1.00,-1.00,Exploration,79,637,4150
5332,-1.00,100.00,-1.00,-1.00,Exploration,79,637,4158
5333,-1.00,100.00,-1.00,-1.00,Exploration,79,637,4180
5334,-1.00,100.00,-1.00,-1.00,Exploration,79,637,4183
5335,-1.00,100.00,-1.00,-1.00,Exploration,79,637,4184
5336,-1.00,100.00,-1.00,-1.00,Exploration,79,637,4190
5337,-1.00,100.00,-1.00,-1.00,Exploration,79,637,4208
5338,-1.00,100.00,-1.00,-1.00,Exploration,79,637,4216
5339,-1.00,100.00,100.00,-1.00,Application,89,637,4220
5340,-1.00,-1.00,0.00,-1.00,NULL,0,637,4066
5341,-1.00,100.00,0.00,-1.00,Exploration,65,637,4067
5342,-1.00,50.00,-1.00,-1.00,NULL,49,637,4068
5343,100.00,50.00,0.00,-1.00,Foundation,50,637,4069
5344,-1.00,0.00,-1.00,-1.00,NULL,0,637,4073
5345,-1.00,0.00,-1.00,-1.00,NULL,0,637,4081
5346,-1.00,0.00,-1.00,-1.00,NULL,0,637,4135
5347,-1.00,0.00,-1.00,-1.00,NULL,0,637,4164
5348,-1.00,0.00,0.00,-1.00,NULL,0,637,4167
5349,-1.00,0.00,-1.00,-1.00,NULL,0,637,4168
5350,-1.00,0.00,-1.00,-1.00,NULL,0,637,4171
5351,-1.00,-1.00,0.00,-1.00,NULL,0,637,4172
5352,-1.00,0.00,-1.00,-1.00,NULL,0,637,4173
5353,-1.00,-1.00,0.00,-1.00,NULL,0,637,4176
5354,-1.00,-1.00,0.00,-1.00,NULL,0,637,4196
5355,-1.00,-1.00,0.00,-1.00,NULL,0,637,4198
5356,-1.00,100.00,0.00,-1.00,Exploration,65,637,4209
5357,-1.00,50.00,0.00,-1.00,NULL,33,637,4212
5358,-1.00,100.00,0.00,-1.00,Exploration,65,637,4213
5359,-1.00,100.00,0.00,-1.00,Exploration,65,637,4219
